,date,open,high,low,close,volume,ratio
291,108/06/20,227.05,230.33,226.11,229.86,37743,1.0041
292,108/06/19,227.52,228.92,225.64,228.92,50074,1.0361
293,108/06/18,219.54,220.94,218.6,220.94,28495,1.0107
294,108/06/17,217.2,220.47,216.26,218.6,50939,0.9873
295,108/06/14,223.76,224.7,221.41,221.41,31854,0.9833
296,108/06/13,227.52,228.92,225.17,225.17,32924,0.9756
297,108/06/12,229.4,232.21,227.99,230.8,29582,1.0061
298,108/06/11,225.17,230.81,224.23,229.4,31890,1.0188
299,108/06/10,222.82,225.17,220.01,225.17,35268,1.0345
300,108/06/06,217.2,217.66,215.31,217.66,34586,0.9872
301,108/06/05,223.29,223.29,219.54,220.48,29084,1.0086
302,108/06/04,222.83,223.29,218.6,218.6,24358,0.979
303,108/06/03,220.94,223.75,217.66,223.29,30998,1.0106
304,108/05/31,217.67,222.83,216.73,220.95,45975,1.0195
305,108/05/30,215.78,217.19,214.84,216.72,28427,1.0065
306,108/05/29,213.91,216.25,212.97,215.32,26445,0.9957
307,108/05/28,217.66,217.66,216.25,216.25,95094,0.9978
308,108/05/27,219.55,220.48,216.73,216.73,35481,0.9914
309,108/05/24,215.8,219.55,215.8,218.61,35895,1.013
310,108/05/23,219.08,219.08,215.8,215.8,58381,0.9664
311,108/05/22,221.9,225.65,220.96,223.3,34569,1.0171
312,108/05/21,219.07,221.42,218.14,219.55,79956,0.9832
313,108/05/20,227.53,227.99,223.3,223.3,39037,0.9855
314,108/05/17,233.62,233.62,226.59,226.59,38499,0.9777
315,108/05/16,233.16,234.1,230.82,231.76,29650,0.992
316,108/05/15,235.5,236.44,233.63,233.63,36798,1.002
317,108/05/14,232.22,235.51,229.88,233.16,45019,0.992
318,108/05/13,237.39,238.33,234.1,235.04,28219,0.9785
319,108/05/10,241.14,243.02,239.26,240.2,18589,0.9981
320,108/05/09,243.48,243.48,240.19,240.66,33520,0.9865
321,108/05/08,243.95,245.36,243.48,243.95,25514,0.9905
322,108/05/07,243.48,246.76,243.01,246.29,25639,1.0135
323,108/05/06,243.94,243.94,242.07,243.01,32783,0.9774
324,108/05/03,245.81,248.63,244.4,248.63,29739,1.0232
325,108/05/02,245.34,246.28,242.53,242.99,27058,1.0
326,108/04/30,243.93,244.4,242.05,242.99,33749,0.9981
327,108/04/29,243.92,245.8,242.51,243.45,31073,0.9981
328,108/04/26,245.78,246.72,241.57,243.91,47449,0.972
329,108/04/25,251.88,252.34,250.46,250.94,32344,0.9944
330,108/04/24,253.29,253.29,250.95,252.35,26391,1.0037
331,108/04/23,250.01,251.42,249.54,251.42,25257,1.0075
332,108/04/22,250.01,250.95,248.61,249.55,24866,1.0057
333,108/04/19,252.36,252.83,247.2,248.14,44568,1.0
334,108/04/18,247.67,249.55,247.2,248.14,37943,1.0115
335,108/04/17,243.91,246.72,243.44,245.32,37752,1.0175
336,108/04/16,241.1,241.1,239.7,241.1,19610,1.0059
337,108/04/15,239.22,240.15,238.28,239.69,17156,1.0139
338,108/04/12,235.94,237.34,235.46,236.4,13507,1.0
339,108/04/11,237.34,238.28,235.93,236.4,24853,0.9921
340,108/04/10,237.34,238.76,236.41,238.28,25797,1.0
341,108/04/09,237.34,238.28,236.4,238.28,22298,1.004
342,108/04/08,235.46,237.33,234.98,237.33,45106,1.0264
343,108/04/03,233.57,233.57,231.23,231.23,24905,1.002
344,108/04/02,234.05,234.05,230.77,230.77,24069,1.002
345,108/04/01,235.48,235.48,229.84,230.31,35296,1.0
346,108/03/29,227.96,230.31,225.62,230.31,28174,1.0145
347,108/03/28,225.61,227.49,225.15,227.02,13891,1.0021
348,108/03/27,227.01,227.48,225.6,226.54,22566,0.9898
349,108/03/26,227.93,228.87,226.06,228.87,19879,1.0104
350,108/03/25,225.57,228.39,225.57,226.51,19127,0.9718
351,108/03/22,232.62,233.08,229.33,233.08,22873,1.0122
352,108/03/21,227.46,230.27,226.05,230.27,26122,1.0145
353,108/03/20,226.98,226.98,224.64,226.98,22946,1.0062
354,108/03/19,224.18,225.58,223.24,225.58,14441,0.9979
355,108/03/18,224.65,226.05,224.17,226.05,26804,1.0084
356,108/03/15,222.29,224.63,220.88,224.17,33574,1.0192
357,108/03/14,224.17,224.17,219.48,219.95,17139,0.9895
358,108/03/13,219.47,222.28,219.47,222.28,20450,1.0064
359,108/03/12,218.52,222.27,218.06,220.87,23530,1.0217
360,108/03/11,213.83,216.18,213.37,216.18,23158,1.0022
361,108/03/08,216.65,217.11,214.77,215.71,22073,0.9829
362,108/03/07,220.4,220.4,218.52,219.46,17094,1.0
363,108/03/06,220.4,220.87,218.99,219.46,20408,1.0043
364,108/03/05,219.46,219.93,218.06,218.52,22608,0.9894
365,108/03/04,224.61,224.61,219.92,220.86,39611,0.9854
366,108/02/27,223.66,224.6,222.25,224.13,35201,0.9979
367,108/02/26,224.13,225.07,221.78,224.6,24491,1.0063
368,108/02/25,222.73,224.13,221.31,223.19,24051,1.0063
369,108/02/22,220.85,221.79,219.45,221.79,21966,1.0
370,108/02/21,220.85,221.79,219.91,221.79,33677,1.0085
371,108/02/20,217.11,219.92,216.63,219.92,30384,1.024
372,108/02/19,215.71,216.17,214.77,214.77,16548,0.9957
373,108/02/18,214.76,216.16,214.29,215.7,16931,1.0132
374,108/02/15,214.77,214.77,212.42,212.89,22317,1.0
375,108/02/14,215.24,215.7,211.95,212.89,23602,0.9913
376,108/02/13,217.57,217.57,214.28,214.76,28537,0.9957
377,108/02/12,215.69,215.69,214.75,215.69,29363,1.0088
378,108/02/11,213.81,214.75,212.4,213.81,78213,1.0317
379,108/01/30,206.78,207.72,206.3,207.24,44721,0.9933
380,108/01/29,208.64,210.98,208.17,208.64,41050,0.9716
