,date,open,high,low,close,volume,SMA_5,SMA_7,SMA_10,SMA_13,SMA_20,SMA_21,SMA_24,SMA_48,SMA_60,kline,dline,jline,DIF,MACD,BAR
26,108/1/7,212.0,220.5,210.0,220.5,152986.0,219.60000000000008,220.6428571428571,222.0,224.11538461538464,235.275,235.66666666666666,236.6875,232.09937499999998,,34.29922896924304,33.04656464869628,36.804557610336545,-5.64211556941919,-3.601728972248875,-2.040386597170315
25,108/1/14,218.5,221.0,215.5,218.5,155879.0,218.8000000000001,219.6428571428571,220.75,222.7692307692308,233.4,234.47619047619048,235.5,231.89916666666662,,32.02225995095264,31.554371850085815,32.958036152686276,-5.6939215852498535,-4.020167494849071,-1.6737540904007826
24,108/1/21,220.0,227.0,219.0,226.0,147843.0,219.7000000000001,220.35714285714283,220.75,223.1538461538462,231.5,233.04761904761904,234.70833333333334,231.68437499999996,,53.21637426900583,39.84595439640051,79.95721401421649,-5.071331750527435,-4.2304003459847435,-0.8409314045426912
23,108/1/28,229.5,229.5,220.0,221.0,111757.0,218.8000000000001,220.1428571428571,221.0,221.9615384615385,229.5,231.0,233.9375,231.46562499999996,,53.80116959064326,46.34660127020058,68.71030623152862,-4.924615136422659,-4.369243304072326,-0.5553718323503327
22,108/2/11,228.0,232.0,226.0,227.0,182032.0,222.60000000000008,220.9285714285714,221.15,221.6538461538462,227.775,229.38095238095238,233.25,231.16062499999998,,66.56346749226005,57.86033711730304,83.96972824217407,-4.2749127733899,-4.350377197935841,0.07546442454594082
21,108/2/18,229.0,236.5,228.5,236.5,119506.0,225.8000000000001,222.49999999999997,222.7,222.4615384615385,226.475,228.1904761904762,232.4375,230.96270833333332,,77.08978328173373,65.81814012154568,99.63306960210983,-2.959334992969474,-4.072168756942568,1.1128337639730939
20,108/2/25,237.5,240.0,236.0,239.0,83743.0,229.9000000000001,226.9285714285714,224.35,224.03846153846158,225.925,227.07142857142858,231.39583333333334,231.0177083333333,232.26133333333334,92.4690274119598,78.70742606198452,119.99223011191035,-1.6954568459965458,-3.5968263747533635,1.9013695287568178
19,108/3/4,239.5,239.5,229.0,230.0,121794.0,230.7000000000001,228.28571428571425,225.2,224.38461538461542,225.575,226.11904761904762,230.10416666666666,230.83479166666663,232.23716666666667,89.0547263681592,86.20451235395092,94.75515439657573,-1.4038661969892985,-3.1582343392005505,1.754368142211252
18,108/3/11,228.0,239.5,227.5,239.0,117851.0,234.3000000000001,231.2142857142857,226.55,225.7692307692308,225.725,226.21428571428572,229.16666666666666,230.90937499999995,232.41116666666667,87.94361525704808,89.82245634572236,84.18593307969954,-0.44146479167605435,-2.6148804296956514,2.173415638019597
17,108/3/18,239.5,248.5,238.0,248.5,113186.0,238.60000000000008,234.4285714285714,230.6,227.7692307692308,227.1,226.8095238095238,228.58333333333334,231.17166666666662,232.44566666666665,88.93864013266999,88.64566058595909,89.52459922609177,1.0754190990015786,-1.8768205239562055,2.952239622957784
16,108/3/25,240.5,245.5,240.0,245.5,103637.0,240.4000000000001,237.9285714285714,233.1,229.61538461538464,227.55,227.97619047619048,228.39583333333334,231.68333333333328,232.43816666666666,95.49905838041433,90.7937712567108,104.90963262782137,2.0122891660680864,-1.098998585951347,3.1112877520194333
15,108/4/1,251.0,251.0,245.0,246.5,84270.0,241.9000000000001,240.7142857142857,235.9,231.23076923076925,228.325,228.45238095238096,228.79166666666666,232.3260416666666,232.37533333333332,91.77145981410608,92.06971944239682,91.1749405575246,2.803144185381541,-0.3185700316847693,3.12171421706631
14,108/4/8,251.0,254.5,250.5,252.0,131561.0,246.3000000000001,242.9285714285714,238.5,234.61538461538464,229.625,229.45238095238096,229.45833333333334,233.09333333333328,232.83783333333332,88.84748320591893,92.03933380014645,82.4637820174639,3.829561716919045,0.5110563180359937,3.318505398883051
13,108/4/15,255.0,269.5,254.0,264.5,157029.0,251.4000000000001,246.57142857142853,242.85,238.00000000000003,231.925,231.28571428571428,231.27083333333334,233.9202083333333,233.4443333333333,88.26905974613953,89.62933425538819,85.54851072764222,5.5872442647969365,1.5262939073881823,4.060950357408754
12,108/4/22,266.5,270.0,257.5,260.0,156307.0,253.7000000000001,250.85714285714283,246.15,241.19230769230774,233.65,233.26190476190476,232.25,234.84416666666664,233.83916666666664,85.26463216865692,87.46039170690513,80.87311309216048,6.541699317808991,2.529374989472344,4.012324328336647
11,108/4/29,260.0,265.0,258.0,265.0,121619.0,257.6000000000001,254.57142857142853,249.0,244.19230769230774,235.85,235.14285714285714,233.66666666666666,235.771875,234.39749999999998,84.26704014939308,85.93357735472985,80.93396573871954,7.6138028571454015,3.5462605630069555,4.0675422941384465
10,108/5/6,260.0,263.0,255.0,256.0,136045.0,259.5000000000001,255.6428571428571,250.7,246.88461538461542,237.525,236.8095238095238,234.91666666666666,236.6027083333333,234.63683333333333,77.2549019607843,82.26219142627811,67.24032302979666,7.649054315518413,4.366819313509247,3.282235002009166
9,108/5/13,253.0,254.0,241.5,241.5,178185.0,257.4000000000001,255.07142857142853,251.85,248.00000000000003,238.525,237.71428571428572,235.875,237.0708333333333,234.5618333333333,55.41053921568626,72.31082710862123,21.609963429816332,6.4328091126423885,4.780017273335875,1.6527918393065137
8,108/5/20,242.5,243.0,230.0,233.0,247838.0,251.10000000000008,253.1428571428571,251.25,247.73076923076925,238.9,238.26190476190476,236.1875,237.28124999999997,234.5058333333333,28.49877450980391,53.72140522875818,-21.946486928104633,4.728539405401705,4.769721699749041,-0.04118229434733589
7,108/5/27,234.0,237.5,227.0,235.5,231422.0,246.2000000000001,250.78571428571425,249.95,247.4615384615385,240.275,238.73809523809524,236.79166666666666,237.6145833333333,234.45116666666664,12.734980620155023,32.214764781881755,-26.22458770329844,3.538829071747017,4.523543174148636,-0.984714102401619
6,108/6/3,227.92,230.82,222.11,224.53,119026.0,238.10600000000008,245.07571428571424,247.853,247.04076923076929,240.4765,239.52523809523808,236.87625,237.78187499999999,234.26966666666664,10.77356296163201,17.335772697197005,-2.35085650949798,1.6912915844477823,3.9570928562084653,-2.265801271760683
5,108/6/10,229.86,239.54,226.96,228.4,161518.0,232.5860000000001,240.56142857142854,246.04300000000003,246.22538461538468,240.97149999999996,239.90142857142854,237.16374999999996,238.01937499999997,234.14449999999997,12.651651637068769,12.05339840628529,13.848158098635729,0.5332346746327516,3.2723212198933225,-2.739086545260571
4,108/6/17,224.05,240.5,223.08,240.5,227997.0,232.3860000000001,237.06142857142854,244.89300000000003,245.61000000000007,241.69649999999996,240.94904761904758,237.78874999999996,238.3527083333333,234.47049999999996,18.862671399735472,14.095961999478774,28.396090200248864,0.5850905467191865,2.734875085258495,-2.1497845385393086
3,108/6/24,241.0,242.0,234.0,239.0,166976.0,233.5860000000001,234.63285714285712,242.34300000000002,245.11000000000007,242.59649999999996,241.5680952380952,239.08041666666665,238.3839583333333,234.85966666666664,30.30485866267287,20.60639389982573,49.70178818836715,0.4993925485336774,2.2877785779135316,-1.7883860293798541
2,108/7/1,245.5,250.0,241.5,243.0,159780.0,235.0860000000001,234.84714285714284,240.64300000000003,244.8407692307693,243.39649999999997,242.61571428571426,240.01791666666665,238.3527083333333,235.32349999999997,42.95619853537338,30.70790953259393,67.45277654093229,0.7456474781771192,1.979352357966249,-1.23370487978913
1,108/7/8,240.0,252.0,240.0,250.5,122219.0,240.28000000000011,237.34714285714284,239.19300000000004,244.72538461538468,244.09649999999996,243.73476190476188,241.35124999999996,238.42562499999997,235.75166666666664,59.83095570455331,44.36400430086655,90.76485851192685,1.5283754432461762,1.8891569750222346,-0.3607815317760583
0,108/7/15,251.0,261.0,249.5,259.0,156694.0,246.4000000000001,240.7042857142857,239.49300000000002,244.30230769230775,245.09649999999996,244.80619047619044,242.72624999999996,238.71729166666663,236.47416666666666,78.32344936404567,60.37020120132414,114.22994568948873,2.8022691430211353,2.0717794086220147,0.7304897343991206
